UT (Unique WOS ID),R0-IR1-RF-qwen2.5,R2-IR9-RF-llama3.2,R6-IR3-RF-qwen2.5,R0-IR1-IF-qwen2.5,R0-IR1-IF-llama3.2,R3-IR6-RF-llama3.2,R1-IR0-RF-llama3.2,R5-IR3-RF-llama3.2,R3-IR2-RF-llama3.2,R2-IR3-RF-qwen2.5,R6-IR3-RF-llama3.2,R3-IR2-RF-qwen2.5,R9-IR2-RF-qwen2.5,R3-IR6-RF-qwen2.5,R1-IR0-IF-llama3.2,R5-IR3-RF-qwen2.5,R1-IR0-IF-qwen2.5,R3-IR5-RF-qwen2.5,R0-IR1-RF-llama3.2,R2-IR3-RF-llama3.2,R1-IR0-RF-qwen2.5,R3-IR5-RF-llama3.2,R9-IR2-RF-llama3.2,R2-IR9-RF-qwen2.5,True_Count,False_Count,Agreement_Rate,Category,Human,Consensus_Label,Consensus_Correct
WOS:001423636000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001181488200011,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,18,6,0.75,Majority True,1,1,True
WOS:000901572600001,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,22,2,0.9166666666666666,Majority True,1,1,True
WOS:001173936700001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001532721300001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001715342900001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001519913500001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001372143700001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:000504690500028,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,20,4,0.8333333333333334,Majority True,1,1,True
WOS:001686967000001,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,16,8,0.6666666666666666,Majority True,1,1,True
WOS:001109068600001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001335581900001,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,14,10,0.5833333333333334,Majority True,1,1,True
WOS:001528922900007,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,19,5,0.7916666666666666,Majority True,1,1,True
WOS:000865022900007,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,13,11,0.5416666666666666,Majority True,1,1,True
WOS:001688568700001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001756713100001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,1.0,All True,1,1,True
WOS:001167356000001,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,18,6,0.75,Majority True,1,1,True
WOS:000540561100019,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,19,0.7916666666666666,Majority False,0,0,True
WOS:000911291100001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:001042050000001,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,18,0.75,Majority False,1,0,False
WOS:000652020200012,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,16,8,0.6666666666666666,Majority True,1,1,True
WOS:001426657700001,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,15,9,0.625,Majority True,1,1,True
WOS:000757688100001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000180647300155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001431264300001,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,17,7,0.7083333333333334,Majority True,1,1,True
WOS:000459358300018,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,16,8,0.6666666666666666,Majority True,1,1,True
WOS:000474330600036,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,19,5,0.7916666666666666,Majority True,1,1,True
WOS:001595287200001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,20,0.8333333333333334,Majority False,0,0,True
WOS:001206773000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001207940200001,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,16,8,0.6666666666666666,Majority True,1,1,True
WOS:000540606400005,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,14,10,0.5833333333333334,Majority True,0,1,False
WOS:000440547800001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001596883000001,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,7,17,0.7083333333333334,Majority False,1,0,False
WOS:001555405700001,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,14,10,0.5833333333333334,Majority True,1,1,True
WOS:001461596000036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000903969400002,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,7,17,0.7083333333333334,Majority False,0,0,True
WOS:001483173700001,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,9,15,0.625,Majority False,1,0,False
WOS:000447105800020,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,13,11,0.5416666666666666,Majority True,1,1,True
WOS:000599627300001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000867670600002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001236934300001,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,17,0.7083333333333334,Majority False,0,0,True
WOS:001702001600001,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21,0.875,Majority False,0,0,True
WOS:001548944600001,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,15,9,0.625,Majority True,0,1,False
WOS:001354155600001,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,15,9,0.625,Majority True,0,1,False
WOS:001527490000001,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,9,15,0.625,Majority False,0,0,True
WOS:001314438000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:000670702800025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,0.9166666666666666,Majority False,0,0,True
WOS:001732362200001,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,13,11,0.5416666666666666,Majority True,1,1,True
WOS:000318668500006,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,18,0.75,Majority False,0,0,True
WOS:000967730000001,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,18,0.75,Majority False,0,0,True
