Config,b_emb_correct_gen_wrong,c_emb_wrong_gen_correct,p_value,win
R0-IR1-RF-llama3.2_labelled,125,17,1.6665029711480696e-21,embedding
R0-IR1-IF-llama3.2_labelled,126,18,3.8123312551188855e-21,embedding
R2-IR9-RF-llama3.2_labelled,4,18,0.004343509674072266,generative
R3-IR2-RF-llama3.2_labelled,3,16,0.004425048828125,generative
R6-IR3-RF-llama3.2_labelled,5,19,0.006610751152038574,generative
R3-IR6-RF-llama3.2_labelled,4,17,0.007197380065917969,generative
R3-IR5-RF-llama3.2_labelled,5,17,0.01690053939819336,generative
R5-IR3-RF-llama3.2_labelled,5,17,0.01690053939819336,generative
R0-IR1-IF-qwen2.5_labelled,7,20,0.0191572904586792,generative
R9-IR2-RF-llama3.2_labelled,8,20,0.03569813817739487,generative
R2-IR9-RF-qwen2.5_labelled,6,15,0.0783538818359375,generative
R1-IR0-RF-qwen2.5_labelled,7,16,0.0931396484375,generative
R2-IR3-RF-llama3.2_labelled,9,18,0.12207812070846558,generative
R1-IR0-IF-qwen2.5_labelled,11,19,0.20048842206597334,generative
R3-IR5-RF-qwen2.5_labelled,9,14,0.4048728942871094,generative
R6-IR3-RF-qwen2.5_labelled,9,13,0.5234670639038086,generative
R0-IR1-RF-qwen2.5_labelled,12,16,0.5715881884098053,generative
R1-IR0-IF-llama3.2_labelled,16,12,0.5715881884098053,embedding
R5-IR3-RF-qwen2.5_labelled,14,11,0.6900379657745361,embedding
R3-IR2-RF-qwen2.5_labelled,14,11,0.6900379657745361,embedding
R3-IR6-RF-qwen2.5_labelled,10,12,0.8318119049072266,generative
R9-IR2-RF-qwen2.5_labelled,13,11,0.8388197422027588,embedding
R1-IR0-RF-llama3.2_labelled,18,16,0.8641662404406816,embedding
R2-IR3-RF-qwen2.5_labelled,18,20,0.8714146793645341,generative
