Config,Best_Threshold,Max_F1,TP,FP,FN,TN,Precision_at_best,Recall_at_best
R2-IR9-RF,0.43,0.85,34.0,7.0,5.0,128.0,0.8292682926829268,0.8717948717948718
R6-IR3-RF,0.52,0.8461538461538461,33.0,6.0,6.0,129.0,0.8461538461538461,0.8461538461538461
R9-IR2-RF,0.53,0.8372093023255814,36.0,11.0,3.0,124.0,0.7659574468085106,0.9230769230769231
R3-IR2-RF,0.68,0.821917808219178,30.0,4.0,9.0,131.0,0.8823529411764706,0.7692307692307693
R3-IR6-RF,0.75,0.821917808219178,30.0,4.0,9.0,131.0,0.8823529411764706,0.7692307692307693
R5-IR3-RF,0.61,0.8205128205128205,32.0,7.0,7.0,128.0,0.8205128205128205,0.8205128205128205
R3-IR5-RF,0.63,0.8205128205128205,32.0,7.0,7.0,128.0,0.8205128205128205,0.8205128205128205
R2-IR3-RF,0.5700000000000001,0.7951807228915663,33.0,11.0,6.0,124.0,0.75,0.8461538461538461
R1-IR0-RF,0.07,0.6888888888888889,31.0,20.0,8.0,115.0,0.6078431372549019,0.7948717948717948
R1-IR0-IF,0.51,0.6666666666666666,30.0,21.0,9.0,114.0,0.5882352941176471,0.7692307692307693
R0-IR1-RF,0.91,0.36792452830188677,39.0,134.0,0.0,1.0,0.2254335260115607,1.0
R0-IR1-IF,0.84,0.36792452830188677,39.0,134.0,0.0,1.0,0.2254335260115607,1.0
