Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Label_Human,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Lou, GX; Wang, HX; Tu, XC; Lai, ZX; Ma, HC; Ying, SS",,,,"Lou, Gaoxiang; Wang, Huaxin; Tu, Xuechen; Lai, Zhixuan; Ma, Haicheng; Ying, Shanshan",,,Resilience assessment of the electric vehicle lithium-ion battery supply chain under supply shortages of upstream mineral enterprises,RESOURCES CONSERVATION AND RECYCLING,,,,Article,,,,,,,,TRUE,"Electric vehicle lithium-ion battery supply chain (EV LIB SC) exhibits reduced resilience when confronted with supply disruptions in upstream mineral enterprises. To analyze the impact of supply disruptions in upstream mineral enterprises on supply chain resilience, we construct a supply chain network and employ the SIR model to simulate disruptions. Subsequently, a two-dimensional framework is proposed to evaluate the impacts of disruption severity and node risk capacity on supply chain resilience. This study also compares the impacts of disruptions in three critical minerals (lithium, cobalt, and nickel). The investigation reveals the following: (1) Node risk capacity can enhance EV LIB SC resilience. Notably, increased resilience investment does not lead to sustained improvements. (2) Regarding robustness, disruptions in lithium mining have the greatest impact, followed by cobalt, while disruptions in nickel have the least effect. However, in terms of recoverability, the effects of disruptions across the three mineral enterprises are similar.","[Lou, Gaoxiang; Wang, Huaxin; Tu, Xuechen] East China Univ Sci & Technol, Sch Business, Shanghai 200237, Peoples R China; [Lai, Zhixuan] Shanghai Lixin Univ Accounting & Finance, Sch Financial Technol, Shanghai, Peoples R China; [Ma, Haicheng] Beijing Inst Technol, Ctr Energy & Environm Policy Res, Beijing, Peoples R China; [Ma, Haicheng] Beijing Inst Technol, Sch Management, Beijing, Peoples R China; [Ying, Shanshan] Shanghai Univ Finance & Econ, Inst Free Trade Zone Studies, Shanghai, Peoples R China",,"Wang, HX (corresponding author), East China Univ Sci & Technol, Sch Business, Shanghai 200237, Peoples R China.",Y30231354@mail.ecust.edu.cn,,,,,,,,11,13,,,,,,,,,,,APR,2025,215,,,,,,,,108161,10.1016/j.resconrec.2025.108161,http://dx.doi.org/10.1016/j.resconrec.2025.108161,,FEB 2025,,,,,,,,,,2026-05-19,WOS:001423636000001,View Full Record in Web of Science
J,"Cheng, AL; Fuchs, ERH; Karplus, VJ; Michalek, JJ",,,,"Cheng, Anthony L.; Fuchs, Erica R. H.; Karplus, Valerie J.; Michalek, Jeremy J.",,,Electric vehicle battery chemistry affects supply chain disruption vulnerabilities,NATURE COMMUNICATIONS,,,,Article,,,,,,,,TRUE,"We examine the relationship between electric vehicle battery chemistry and supply chain disruption vulnerability for four critical minerals: lithium, cobalt, nickel, and manganese. We compare the nickel manganese cobalt (NMC) and lithium iron phosphate (LFP) cathode chemistries by (1) mapping the supply chains for these four materials, (2) calculating a vulnerability index for each cathode chemistry for various focal countries and (3) using network flow optimization to bound uncertainties. World supply is currently vulnerable to disruptions in China for both chemistries: 80% [71% to 100%] of NMC cathodes and 92% [90% to 93%] of LFP cathodes include minerals that pass through China. NMC has additional risks due to concentrations of nickel, cobalt, and manganese in other countries. The combined vulnerability of multiple supply chain stages is substantially larger than at individual steps alone. Our results suggest that reducing risk requires addressing vulnerabilities across the entire battery supply chain. Electric vehicle battery supply chains are currently vulnerable to supply disruptions in China, but research shows that the cumulative effect of multiple supply chain steps creates additional vulnerabilities across multiple critical battery minerals.","[Cheng, Anthony L.; Fuchs, Erica R. H.; Karplus, Valerie J.; Michalek, Jeremy J.] Carnegie Mellon Univ, Dept Engn & Publ Policy, Pittsburgh, PA 15213 USA; [Karplus, Valerie J.] Carnegie Mellon Univ, Wilton E Scott Inst Energy Innovat, Pittsburgh, PA USA; [Michalek, Jeremy J.] Carnegie Mellon Univ, Dept Mech Engn, Pittsburgh, PA 15213 USA; [Michalek, Jeremy J.] Carnegie Mellon Univ, Dept Civil & Environm Engn, Pittsburgh, PA 15213 USA",,"Michalek, JJ (corresponding author), Carnegie Mellon Univ, Dept Engn & Publ Policy, Pittsburgh, PA 15213 USA.;Michalek, JJ (corresponding author), Carnegie Mellon Univ, Dept Mech Engn, Pittsburgh, PA 15213 USA.;Michalek, JJ (corresponding author), Carnegie Mellon Univ, Dept Civil & Environm Engn, Pittsburgh, PA 15213 USA.",jmichalek@cmu.edu,,,,,,,,234,254,,,,,,,,,,,MAR 8,2024,15,1,,,,,,,2143,10.1038/s41467-024-46418-1,http://dx.doi.org/10.1038/s41467-024-46418-1,,,,,,,,,,Y,Y,2026-05-19,WOS:001181488200011,View Full Record in Web of Science
J,"Mu, D; Ren, HY; Wang, C; Yue, XP; Du, JB; Ghadimi, P",,,,"Mu, Dong; Ren, Huanyu; Wang, Chao; Yue, Xiongping; Du, Jianbang; Ghadimi, Pezhman",,,Structural characteristics and disruption ripple effect in a meso-level electric vehicle Lithium-ion battery supply chain network,RESOURCES POLICY,,,,Article,,,,,,,,TRUE,"Lithium-ion batteries (LIBs) have attracted widespread attention due to their crucial role in determining the performance of electric vehicles (EVs). The global EV LIB supply chain network is susceptible to disruptions as the activities of relevant firms are increasingly international, intricate, and interdependent. Existing research on the disruption risks in the EV LIB supply chain network is limited, and the detected threats rely on macro-level analyses of international trade data. To fill this gap, this study constructs a meso-level EV LIB supply chain network based on the supplier-buyer relationship data of significant EV LIB firms from 2016 to 2020. The hidden disruption risks are investigated regarding supply chain network structural characteristics and disruption ripple effects. First, the evolution of critical structural characteristics of the EV LIB supply network is presented to identify the systematic disruption risks. Second, the scale and persistence of the disruption ripple effect in two realistic scenarios, i.e., single-firm disruption and interfirm transaction breakdown, are dynamically assessed. The results show that the global EV LIB supply chain network has a hub-and-spoke structure with a robust yet fragile characteristic and is dominated by focal battery manufacturers from China, Japan, and South Korea. In addition, hidden risky sources among EV LIB firms and interfirm transactions are identified. The results can support EV LIB-related firms by better understanding the supply chain network characteristics to cope with the ripple effects of disruptions.","[Mu, Dong; Ren, Huanyu; Yue, Xiongping] Beijing Jiaotong Univ, Sch Econ & Management, Beijing, Peoples R China; [Wang, Chao] Beijing Univ Technol, Coll Econ & Management, Res Base Beijing Modern Mfg Dev, Beijing, Peoples R China; [Du, Jianbang] Texas A&M Univ Transportat Inst, Bryan, TX 77807 USA; [Ghadimi, Pezhman] Univ Coll Dublin, Sch Mech & Mat Engn, Lab Adv Mfg Simulat & Robot, Dublin 4, Ireland",,"Ren, HY (corresponding author), Beijing Jiaotong Univ, Sch Econ & Management, Beijing, Peoples R China.",19113044@bjtu.edu.cn,,,,,,,,36,41,,,,,,,,,,,JAN,2023,80,,,,,,,,103225,10.1016/j.resourpol.2022.103225,http://dx.doi.org/10.1016/j.resourpol.2022.103225,,DEC 2022,,,,,,,,,,2026-05-19,WOS:000901572600001,View Full Record in Web of Science
J,"Ren, HY; Mu, D; Wang, C; Yue, XP; Li, ZL; Du, JB; Zhao, LF; Lim, MK",,,,"Ren, Huanyu; Mu, Dong; Wang, Chao; Yue, Xiongping; Li, Zhenglong; Du, Jianbang; Zhao, Longfeng; Lim, Ming K.",,,Vulnerability to geopolitical disruptions of the global electric vehicle lithium-ion battery supply chain network,COMPUTERS & INDUSTRIAL ENGINEERING,,,,Article,,,,,,,,TRUE,"In the rapidly expanding global electric vehicle lithium -ion battery supply chain network (EV LIB SCN), intricate intercontinental and interrelated connections render it susceptible to geopolitical disturbances. The complex supplier-buyer dynamics within this network facilitate the propagation of disruptions, complicating the identification and evaluation of the consequences of geopolitical disruptions. Existing recommendations, grounded in macro -level material flow data, offer limited guidance for EV LIB -associated enterprises in managing such disruptions. To address this gap, this study constructs a meso-level EV LIB SCN incorporating realistic supplier-buyer relationship data among relevant firms. A supply chain network vulnerability (SCNV) index has been designed to quantify the disruption impact. Furthermore, a geopolitical disruption diffusion (GDD) model has been developed to simulate the disruption propagation in two distinct scenarios, i.e., single -region blockade and inter -region blockade. This study broadens the scope of EV LIB SCN investigations from macro- to meso-level analyses, and the evaluation of both direct and indirect impacts of geopolitical disruptions enhances comprehension of geopolitical disruption risks in global supply chain networks.","[Ren, Huanyu] Jimei Univ, Nav Inst, Xiamen, Fujian, Peoples R China; [Ren, Huanyu; Mu, Dong; Li, Zhenglong] Beijing Jiaotong Univ, Sch Econ & Management, Beijing, Peoples R China; [Wang, Chao] Beijing Univ Technol, Coll Econ & Management, Beijing, Peoples R China; [Yue, Xiongping] Wuhan Polytech Univ, Sch Management, Wuhan, Peoples R China; [Du, Jianbang] Texas A&M Transportat Inst, Bryan, TX 77807 USA; [Zhao, Longfeng] Northwestern Polytech Univ, Sch Management, Xian, Peoples R China; [Lim, Ming K.] Univ Glasgow, Adam Smith Business Sch, Glasgow, Scotland",,"Mu, D (corresponding author), Beijing Jiaotong Univ, Sch Econ & Management, Beijing, Peoples R China.;Wang, C (corresponding author), Beijing Univ Technol, Coll Econ & Management, Beijing, Peoples R China.",dmu@bjtu.edu.cn; chaowanghn@vip.163.com,,,,,,,,43,48,,,,,,,,,,,FEB,2024,188,,,,,,,,109919,10.1016/j.cie.2024.109919,http://dx.doi.org/10.1016/j.cie.2024.109919,,JAN 2024,,,,,,,,,,2026-05-19,WOS:001173936700001,View Full Record in Web of Science
J,"He, HZ; Brush, T; Cai, H; Thakkar, D; Dunlop, S; Biller, S",,,,"He, Hazel; Brush, Thomas; Cai, Hua; Thakkar, Dutt; Dunlop, Steve; Biller, Stephan",,,Developing a strategic supply chain resiliency index: an assessment of the global lithium supply for US automotive EV battery production,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,,,,Article,,,,,,,,TRUE,"While the importance of improving supply chain resilience (SCR) is gaining increasing recognition, measuring it remains challenging. Existing literature focuses on modelling operational SCR, emphasising post-disruption impact and recovery, but lacks practical tools and metrics for assessing resilience from a strategic perspective. Strategic decisions, such as supply network design and strategy for selecting suppliers, are critical to mitigate disruption risks and impacts. To address this gap, we propose a supply chain strategic resiliency index (SRI) to comprehensively measure strategic SCR. The index integrates the consideration of supply network structure, supplier reliability (especially geopolitical risks), and each supplier's contribution of material flow into a unified metric. Such an index can serve three primary purposes: (1) benchmarking the resilience of the existing supply chain, (2) evaluating the impact of strategic supply chain management decisions, and (3) assessing the resilience impact of new technology developments. As a use case, we analyzed the lithium supply chain of U.S. electric vehicle manufacturers, utilising real-world lithium imports and vehicle production data. Our results show that automakers are increasing their SCR, as exemplified by General Motors' SRI increase from 27 in 2022 to 59 in 2023, and further to 65 in 2024.","[He, Hazel; Cai, Hua; Biller, Stephan] Purdue Univ, Edwardson Sch Ind Engn, W Lafayette, IN 47907 USA; [Brush, Thomas; Biller, Stephan] Purdue Univ, Mitch Daniels Sch Business, W Lafayette, IN 47907 USA; [Cai, Hua] Purdue Univ, Sch Sustainabil Engn & Environm Engn, W Lafayette, IN USA; [Thakkar, Dutt; Dunlop, Steve; Biller, Stephan] Purdue Univ, Dauch Ctr, Mitch Daniels Sch Business, W Lafayette, IN 47907 USA",,"Cai, H; Biller, S (corresponding author), Purdue Univ, Edwardson Sch Ind Engn, W Lafayette, IN 47907 USA.;Biller, S (corresponding author), Purdue Univ, Mitch Daniels Sch Business, W Lafayette, IN 47907 USA.;Biller, S (corresponding author), Purdue Univ, Dauch Ctr, Mitch Daniels Sch Business, W Lafayette, IN 47907 USA.;Cai, H (corresponding author), Purdue Univ, Environm & Ecol Engn, W Lafayette, IN 47907 USA.",huacai@purdue.edu; sbiller@purdue.edu,,,,,,,,1,1,,,,,,,,,,,JAN 2,2026,64,1,,,,,1,23,,10.1080/00207543.2025.2534842,http://dx.doi.org/10.1080/00207543.2025.2534842,,JUL 2025,,,,,,,,,,2026-05-19,WOS:001532721300001,View Full Record in Web of Science
J,"Xu, JY; Gu, JT; Zhang, TY; Wang, C; An, KX",,,,"Xu, Junyuan; Gu, Jiting; Zhang, Tianyi; Wang, Can; An, Kangxin",,,Uncovering the impact of trade-related lithium supply risks on China's power system decarbonization,JOURNAL OF CLEANER PRODUCTION,,,,Article,,,,,,,,TRUE,"Growing dependence on critical minerals sourced through international trade has introduced new vulnerabilities to power system decarbonization. For countries with limited domestic resources, trade-related supply disruptions and price volatility can directly affect the deployment of clean energy technologies. China, as the world's largest renewable energy market and a major importer of lithium, is increasingly exposed to such risks. However, existing studies rarely quantify how trade-related mineral supply risks shape power system transitions under dynamic market and price responses. This study develops an integrated framework that couples a System Dynamics model of the lithium market with a power system optimization model, enabling year-by-year feedback between mineral supply conditions, price adjustments, and clean technology deployment. Focusing on lithium as a critical input for energy storage, the framework is applied to China's power system transition under rapid demand growth and import disruption scenarios. Results show that lithium demand from the power system could increase by 4.3-57.8 times between 2020 and 2060, placing substantial pressure on supply. Under supplydemand imbalances, lithium prices rise persistently from 2025, reaching up to five times the unconstrained level by 2050, leading to a 10.6% reduction in cumulative battery deployment and a 0.43% increase in total transition costs. Temporary import disruptions further amplify these effects, raising lithium prices by 5.8-29% and constraining storage deployment during critical expansion periods. These findings underscore the importance of explicitly incorporating trade-related mineral supply risks into long-term power system planning and demonstrate the framework's applicability for analyzing energy transitions under international trade uncertainty.","[Xu, Junyuan; Zhang, Tianyi; Wang, Can; An, Kangxin] Tsinghua Univ, Sch Environm, Beijing 100084, Peoples R China; [Xu, Junyuan; Zhang, Tianyi; Wang, Can; An, Kangxin] Tsinghua Univ, State Key Lab Reg Environm & Sustainabil, Beijing 100084, Peoples R China; [Gu, Jiting] Zhejiang Elect Power Co, Econ Res Inst State Grid, Hangzhou 310020, Peoples R China",,"An, KX (corresponding author), Tsinghua Univ, Sch Environm, Beijing 100084, Peoples R China.",akx21@mails.tsinghua.edu.cn,,,,,,,,0,0,,,,,,,,,,,MAR 18,2026,551,,,,,,,,147885,10.1016/j.jclepro.2026.147885,http://dx.doi.org/10.1016/j.jclepro.2026.147885,,,,,,,,,,,,2026-05-19,WOS:001715342900001,View Full Record in Web of Science
J,"Yang, YR; Sun, X",,,,"Yang, Yiran; Sun, Xin",,,Evaluating multi-dimensional risks embodied in the global supply chain of lithium-ion batteries,RESOURCES CONSERVATION & RECYCLING ADVANCES,,,,Article,,,,,,,,TRUE,"Driven by the development of e-mobility and renewable power, recent years saw a surging demand for battery materials along with concerns about the supply chain stability. Previous studies have assessed such risks from multiple perspectives while the whole picture is still unclear. This study evaluated global supply chain risks in the lithium-ion battery (LIB) industry, covering 238 countries and regions and 15 key LIB-related commodities. We integrated three dimensions to develop a risk assessment model: the probability of production disruptions, competition risk, and vulnerability, offering a holistic view of both supply- and demand-side risks. The results reveal that lithium hydroxide and LIB exhibit the highest supply chain risks, primarily due to concentrated production and widely dispersed demand. Countries such as Japan, South Korea, and the United States face elevated supply chain risks. Early adopters of low-cobalt technologies have somewhat mitigated risks by reducing their exposure to resource competition. Based on these findings, the study underscores the importance of diversifying supply chains and accelerating technological transitions. The efforts to assess and improve resilience at high geographic and technical granularity are further highlighted.","[Yang, Yiran] Cornell Univ, Dept City & Reg Planning, Ithaca, NY 14850 USA; [Sun, Xin] Univ Groningen, Energy & Sustainabil Res Inst Groningen ESRIG, Integrated Res Energy Environm & Soc IREES, NL-9747AG Groningen, Netherlands",,"Sun, X (corresponding author), Univ Groningen, Energy & Sustainabil Res Inst Groningen ESRIG, Integrated Res Energy Environm & Soc IREES, NL-9747AG Groningen, Netherlands.",xin.sun@rug.nl,,,,,,,,1,3,,,,,,,,,,,SEP,2025,27,,,,,,,,200266,10.1016/j.rcradv.2025.200266,http://dx.doi.org/10.1016/j.rcradv.2025.200266,,JUN 2025,,,,,,,,,,2026-05-19,WOS:001519913500001,View Full Record in Web of Science
J,"Ouyang, X; Liu, LT; Chen, W; Wang, C; Sun, X; He, CF; Liu, G",,,,"Ouyang, Xin; Liu, Litao; Chen, Wu; Wang, Chao; Sun, Xin; He, Canfei; Liu, Gang",,,Systematic Risks of the Global Lithium Supply Chain Network: From Static Topological Structures to Cascading Failure Dynamics,ENVIRONMENTAL SCIENCE & TECHNOLOGY,,,,Article,,,,,,,,TRUE,"Recent years have seen increasing concerns on supply chain risks of lithium, a critical material for achieving e-mobility transition and climate ambitions. These risks propagate both along the life cycle and across national boundaries in a multilayer network. However, most previous studies are either only based on static network measures or focused on individual layers, ignoring dynamic cascading risks and interconnected and interdependent relationships along life cycle stages and across economies. Here, we integrated trade-linked material flow and complex network analyses to investigate intricate interconnections, interdependencies, and systematic risks of the global lithium supply chain. Both static and dynamic measures of the global lithium supply chain network exhibit a robust-yet-fragile property: robust for random shocks yet fragile for targeted shocks and robust for small or local disruptions yet fragile for large or cascading failures. Portugal, Brazil, Singapore, Canada, Finland, Norway, South Africa, Israel, Hungary, and the United Arab Emirates are most likely to be affected by supply disruptions. A hypothetical USA-China trade decoupling will increase the severity and susceptibility of network-wide failures by around 5%. Our results call for global collaborations and collective efforts to balance efficiency and security and avoid a zero-sum game in securing the lithium supply chain.","[Ouyang, Xin; Liu, Litao] Chinese Acad Sci, Inst Geog Sci & Nat Resources Res, Beijing 100101, Peoples R China; [Ouyang, Xin; Liu, Litao] Univ Chinese Acad Sci, Beijing 100049, Peoples R China; [Ouyang, Xin; He, Canfei; Liu, Gang] Peking Univ, Coll Urban & Environm Sci, Beijing 100871, Peoples R China; [Chen, Wu] Univ Southern Denmark, Dept Green Technol, SDU Life Cycle Engn, DK-5230 Odense, Denmark; [Wang, Chao] Beijing Univ Technol, Coll Econ & Management, Beijing 100124, Peoples R China; [Sun, Xin] Univ Groningen, Energy & Sustainabil Res Inst Groningen ESRIG, Integrated Res Energy Environm & Soc IREES, NL-9747 AG Groningen, Netherlands; [Liu, Gang] Peking Univ, Inst Carbon Neutral, Beijing 100871, Peoples R China",,"Liu, G (corresponding author), Peking Univ, Coll Urban & Environm Sci, Beijing 100871, Peoples R China.;Sun, X (corresponding author), Univ Groningen, Energy & Sustainabil Res Inst Groningen ESRIG, Integrated Res Energy Environm & Soc IREES, NL-9747 AG Groningen, Netherlands.;Liu, G (corresponding author), Peking Univ, Inst Carbon Neutral, Beijing 100871, Peoples R China.",xin.sun@rug.nl; gangliu@pku.edu.cn,,,,,,,,31,35,,,,,,,,,,,DEC 6,2024,58,50,,,,,22135,22147,,10.1021/acs.est.4c10523,http://dx.doi.org/10.1021/acs.est.4c10523,,DEC 2024,,,,,,,,,,2026-05-19,WOS:001372143700001,View Full Record in Web of Science
J,"Sun, X; Hao, H; Hartmann, P; Liu, ZW; Zhao, FQ",,,,"Sun, Xin; Hao, Han; Hartmann, Philipp; Liu, Zongwei; Zhao, Fuquan",,,Supply risks of lithium-ion battery materials: An entire supply chain estimation,MATERIALS TODAY ENERGY,,,,Article,,,,,,,,TRUE,"Lithium-ion batteries, as the essential technology for global energy transition, require the combined support of several metallic resources and the complicated supply chains that follow. The risk of supply disruptions to these resources has been widely observed and measured. However, system boundaries of previous studies were conventionally limited to the mine stage. Possible supply risks inherent in the downstream processing stages were not adequately taken into account. To fill this gap, we generalize the idea of supply risk to the whole supply chain to describe the comprehensive threats for the steady consumption of lithium-ion batteries. Based on such concept, this study assesses the risks of the lithium-ion battery related materials in the three major stages of the entire supply chain: mining, refining and manufacturing. Results indicate that lithium and cobalt are the most critical materials for lithium-ion battery industry. Risks hidden in the downstream stages of nickel and manganese should also not be overlooked. We further argue that for important energy-related materials with complicated supply chains, the risks should be identified and safeguarded comprehensively throughout the entire supply chain. Such work calls for further database establishment and analysis. (C) 2019 Elsevier Ltd. All rights reserved.","[Sun, Xin; Hao, Han; Hartmann, Philipp; Liu, Zongwei; Zhao, Fuquan] Tsinghua Univ, State Key Lab Automot Safety & Energy, Beijing 100084, Peoples R China; [Hartmann, Philipp] Rhein Westfal TH Aachen, D-52056 Aachen, Germany; [Hao, Han; Liu, Zongwei; Zhao, Fuquan] Tsinghua Univ, China Automot Energy Res Ctr, Beijing 100084, Peoples R China; [Hao, Han; Liu, Zongwei; Zhao, Fuquan] Tsinghua Univ, Tsinghua Automot Strategy Res Inst, Beijing 100084, Peoples R China",,"Hao, H (corresponding author), Tsinghua Univ, State Key Lab Automot Safety & Energy, Beijing 100084, Peoples R China.",hao@tsinghua.edu.cn,,,,,,,,130,149,,,,,,,,,,,DEC,2019,14,,,,,,,,100347,10.1016/j.mtener.2019.100347,http://dx.doi.org/10.1016/j.mtener.2019.100347,,,,,,,,,,,,2026-05-19,WOS:000504690500028,View Full Record in Web of Science
J,"Zhang, LX; Sun, X; Xu, M; Yang, YY; Zhang, TT; Wen, ZG",,,,"Zhang, Lanxin; Sun, Xin; Xu, Mao; Yang, Yuyao; Zhang, Tingting; Wen, Zongguo",,,Large language model-driven analysis of supply risk dynamics in global electric vehicle supply chain,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,,,,Article,,,,,,,,TRUE,"Driven by ambitious climate targets, the rapid growth of electric vehicles (EV) is creating complex global supply chains that are increasingly exposed to disruptions. While supply risks, such as political instability and resource scarcity, are widely recognized, systematic assessments of disruption events across the entire EV supply chain remain limited. This study employs a Large language model (LLM) with prompt engineering to identify disruption events from unstructured textual data and further analyze risk dynamics. Applying this approach to 3125 news articles from 2006 to 2025, we extract 2843 documented events and further categorize them into 50 disruption event types and 8 supply risk types, spanning 49 supply chain stages and 78 countries and regions. We find that geopolitical risks have emerged as the dominant concern in recent years. Vehicle assembly, battery manufacturing, and lithium ore extraction emerged as the most vulnerable stages. Geographic heterogeneity in risk distribution reveals the distinct roles countries play in the global EV supply chain. This proposed LLM-based framework provides actionable insights for enhancing supply chain resilience during the accelerating EV transition.","[Zhang, Lanxin; Xu, Mao; Wen, Zongguo] Tsinghua Univ, Sch Environm, State Key Lab Iron & Steel Ind Environm Protect, Beijing, Peoples R China; [Sun, Xin] Univ Groningen, Energy Sustainabil Res Inst Groningen, Integrated Res Energy Environm & Soc, Groningen, Netherlands; [Yang, Yuyao] Chinese Acad Sci, Inst Urban Environm, Xiamen, Peoples R China; [Zhang, Tingting] Nanjing Forestry Univ, Coll Econ & Management, Nanjing, Jiangsu, Peoples R China",,"Wen, ZG (corresponding author), Tsinghua Univ, Sch Environm, State Key Lab Iron & Steel Ind Environm Protect, Beijing, Peoples R China.",wenzg@tsinghua.edu.cn,,,,,,,,0,0,,,,,,,,,,,JUN,2026,119,,,,,,,,108378,10.1016/j.eiar.2026.108378,http://dx.doi.org/10.1016/j.eiar.2026.108378,,FEB 2026,,,,,,,,,,2026-05-19,WOS:001686967000001,View Full Record in Web of Science
